"id","country","year","quarter","vessel_length","gear","mesh_size_range","fishery","area","specon","species","discards","unit","lengthclass0","lengthclass1","lengthclass2","lengthclass3","lengthclass4","lengthclass5","lengthclass6","lengthclass7","lengthclass8","lengthclass9","lengthclass10","lengthclass11","lengthclass12","lengthclass13","lengthclass14","lengthclass15","lengthclass16","lengthclass17","lengthclass18","lengthclass19","lengthclass20","lengthclass21","lengthclass22","lengthclass23","lengthclass24","lengthclass25","lengthclass26","lengthclass27","lengthclass28","lengthclass29","lengthclass30","lengthclass31","lengthclass32","lengthclass33","lengthclass34","lengthclass35","lengthclass36","lengthclass37","lengthclass38","lengthclass39","lengthclass40","lengthclass41","lengthclass42","lengthclass43","lengthclass44","lengthclass45","lengthclass46","lengthclass47","lengthclass48","lengthclass49","lengthclass50","lengthclass51","lengthclass52","lengthclass53","lengthclass54","lengthclass55","lengthclass56","lengthclass57","lengthclass58","lengthclass59","lengthclass60","lengthclass61","lengthclass62","lengthclass63","lengthclass64","lengthclass65","lengthclass66","lengthclass67","lengthclass68","lengthclass69","lengthclass70","lengthclass71","lengthclass72","lengthclass73","lengthclass74","lengthclass75","lengthclass76","lengthclass77","lengthclass78","lengthclass79","lengthclass80","lengthclass81","lengthclass82","lengthclass83","lengthclass84","lengthclass85","lengthclass86","lengthclass87","lengthclass88","lengthclass89","lengthclass90","lengthclass91","lengthclass92","lengthclass93","lengthclass94","lengthclass95","lengthclass96","lengthclass97","lengthclass98","lengthclass99","lengthclass100_plus","upload_id"
44554,"ITA",2009,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",38.35542,"mm",0,0,0,0,0,0,0,0,74.269684,113.430719,442.023121,434.918237,471.195383,752.236038,1174.441705,1831.805062,1370.380186,1159.512365,1113.680983,594.551203,498.719222,212.970095,462.964048,159.640324,164.862551,92.792376,14.948854,19.931806,122.146589,20.280591,0,0,4.982951,0,0,10.126292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44571,"ITA",2010,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",24.396528,"mm",0,0,0,0,0,0,0,0,0,130.45957,80.110837,198.657746,145.782721,176.689095,283.241041,572.53362,703.764644,670.618574,823.349059,668.894304,610.656016,232.573805,230.802865,107.478681,165.664995,90.467589,47.612437,23.733082,30.451867,1.374058,14.504053,0.639375,0,0.631143,0.639375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44583,"ITA",2010,-1,-1,"OTB","50D100","MDDWSP","GSA 9",-1,"DPS",2.703603,"mm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.310774,7.863089,3.310774,15.133182,12.001557,15.726178,10.34617,49.861521,39.076673,47.871878,26.653323,32.380003,43.557343,11.58771,6.263249,11.58771,0.827694,0,7.863089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44593,"ITA",2011,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",60.519315,"mm",0,0,0,0,0,0,0,23.413008,331.937871,1327.751485,995.813614,4016.237206,4653.361399,5670.984216,5094.996618,1147.629659,2957.577556,976.131093,587.320219,519.918318,190.706038,54.88637,15.017466,35.314873,76.952619,331.937871,5.981089,53.379728,12.787659,23.413008,0,29.96672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44603,"ITA",2011,-1,-1,"OTB","50D100","MDDWSP","GSA 9",-1,"DPS",2.743526,"mm",0,0,0,0,0,0,0,0,0,26.79004,61.234376,109.711591,101.00945,65.061525,73.426166,55.973862,44.260017,35.154681,38.62213,12.932484,15.663766,11.481446,0,3.647299,5.102865,18.850793,10.241397,7.869814,3.467449,7.689965,1.275716,0,19.35126,0,2.551432,0,0,0,12.757162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44612,"ITA",2012,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",6.571266,"mm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.151758,37.336046,22.227148,43.75506,175.862967,98.131431,222.556916,106.415073,53.043923,62.295724,26.151341,47.87572,23.355164,1.946264,0,13.377407,4.74244,14.200285,1.946264,0,1.946264,1.946264,3.892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44623,"ITA",2012,-1,-1,"OTB","50D100","MDDWSP","GSA 9",-1,"DPS",0.996779,"mm",0,0,0,0,0,0,0,0,0,0,0,0,28.233654,33.880385,16.940192,11.293462,39.527115,67.760769,39.527115,5.646731,5.646731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44630,"ITA",2013,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",26.761695,"mm",0,0,0,0,0,0,0,0,0,27.417092,59.941687,60.282153,87.358779,113.384382,156.487471,247.539239,422.648904,789.459636,969.695453,684.301651,346.673563,286.6363,217.733808,287.901427,74.972498,168.396655,85.986763,90.224961,46.703824,129.853204,11.984369,23.161171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44644,"ITA",2013,-1,-1,"OTB","50D100","MDDWSP","GSA 9",-1,"DPS",3.279211,"mm",0,0,0,0,0,0,0,0,0,0,5.622357,5.622357,0,6.529189,9.272761,10.974288,8.230716,8.230716,26.217683,8.230716,10.36527,15.852414,22.805805,15.550893,18.235178,27.643152,29.88375,49.931778,27.749196,30.595268,17.076429,7.115179,2.134554,4.980625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
44654,"ITA",2014,-1,-1,"OTB","50D100","DEMSP","GSA 9",-1,"DPS",44.978926,"mm",0,0,0,0,0,0,0,0,17.244707,57.581818,86.372728,310.852304,248.791593,867.502179,1471.714299,1875.075589,2947.446086,1505.838217,1083.791111,603.281917,648.810972,557.07578,258.660387,140.768613,135.093275,98.549079,35.68285,53.965101,40.49851,25.638346,7.067311,5.158621,5.158621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
